psu_number,dist_name,hh_number,s03_code,q03_03
4020.0,Jhapa,1.0,112.0,0.0
4021.0,Jhapa,6.0,112.0,0.0
4021.0,Jhapa,1.0,112.0,0.0
4021.0,Jhapa,8.0,112.0,0.0
4021.0,Jhapa,3.0,112.0,0.0
4021.0,Jhapa,7.0,112.0,0.0
4021.0,Jhapa,10.0,112.0,0.0
4021.0,Jhapa,11.0,112.0,0.0
4021.0,Jhapa,5.0,112.0,0.0
4021.0,Jhapa,4.0,112.0,0.0
4021.0,Jhapa,9.0,112.0,0.0
4021.0,Jhapa,2.0,112.0,0.0
4021.0,Jhapa,12.0,112.0,0.0
4022.0,Jhapa,10.0,112.0,0.0
4022.0,Jhapa,2.0,112.0,0.0
4022.0,Jhapa,7.0,112.0,0.0
4022.0,Jhapa,1.0,112.0,0.0
4022.0,Jhapa,9.0,112.0,0.0
4022.0,Jhapa,3.0,112.0,0.0
4022.0,Jhapa,8.0,112.0,0.0
4022.0,Jhapa,4.0,112.0,0.0
4022.0,Jhapa,12.0,112.0,0.0
4022.0,Jhapa,6.0,112.0,0.0
4022.0,Jhapa,11.0,112.0,0.0
4022.0,Jhapa,5.0,112.0,4.0
4023.0,Jhapa,11.0,112.0,0.0
4023.0,Jhapa,6.0,112.0,0.0
4023.0,Jhapa,7.0,112.0,0.0
4023.0,Jhapa,4.0,112.0,0.0
4023.0,Jhapa,5.0,112.0,0.0
4023.0,Jhapa,12.0,112.0,0.0
4023.0,Jhapa,8.0,112.0,0.0
4023.0,Jhapa,9.0,112.0,0.0
4023.0,Jhapa,10.0,112.0,0.0
4023.0,Jhapa,1.0,112.0,0.0
4023.0,Jhapa,3.0,112.0,0.0
4023.0,Jhapa,2.0,112.0,0.0
4024.0,Jhapa,11.0,112.0,0.0
4024.0,Jhapa,4.0,112.0,0.0
4024.0,Jhapa,7.0,112.0,1.0
4024.0,Jhapa,8.0,112.0,1.0
4024.0,Jhapa,2.0,112.0,0.0
4024.0,Jhapa,10.0,112.0,0.0
4024.0,Jhapa,6.0,112.0,1.0
4024.0,Jhapa,1.0,112.0,1.0
4024.0,Jhapa,5.0,112.0,0.0
4024.0,Jhapa,9.0,112.0,0.0
4024.0,Jhapa,12.0,112.0,1.0
4024.0,Jhapa,3.0,112.0,0.0
4025.0,Jhapa,10.0,112.0,1.0
4025.0,Jhapa,2.0,112.0,0.0
4025.0,Jhapa,7.0,112.0,1.0
4025.0,Jhapa,11.0,112.0,3.0
4025.0,Jhapa,3.0,112.0,1.0
4025.0,Jhapa,1.0,112.0,1.0
4025.0,Jhapa,12.0,112.0,0.0
4025.0,Jhapa,6.0,112.0,1.0
4025.0,Jhapa,4.0,112.0,0.0
4025.0,Jhapa,8.0,112.0,0.0
4025.0,Jhapa,5.0,112.0,0.0
4025.0,Jhapa,9.0,112.0,1.0
4026.0,Jhapa,6.0,112.0,0.0
4026.0,Jhapa,9.0,112.0,1.0
4026.0,Jhapa,7.0,112.0,1.0
4026.0,Jhapa,5.0,112.0,1.0
4026.0,Jhapa,1.0,112.0,0.0
4026.0,Jhapa,10.0,112.0,0.0
4026.0,Jhapa,11.0,112.0,1.0
4026.0,Jhapa,2.0,112.0,1.0
4026.0,Jhapa,8.0,112.0,1.0
4026.0,Jhapa,4.0,112.0,1.0
4026.0,Jhapa,12.0,112.0,1.0
4026.0,Jhapa,3.0,112.0,0.0
4027.0,Jhapa,12.0,112.0,0.0
4027.0,Jhapa,5.0,112.0,0.0
4027.0,Jhapa,2.0,112.0,0.0
4027.0,Jhapa,4.0,112.0,0.0
4027.0,Jhapa,9.0,112.0,0.0
4027.0,Jhapa,8.0,112.0,0.0
4027.0,Jhapa,11.0,112.0,0.0
4027.0,Jhapa,7.0,112.0,0.0
4027.0,Jhapa,6.0,112.0,0.0
4027.0,Jhapa,3.0,112.0,0.0
4027.0,Jhapa,1.0,112.0,0.0
4027.0,Jhapa,10.0,112.0,0.0
4028.0,Jhapa,8.0,112.0,10.0
4028.0,Jhapa,12.0,112.0,3.0
4028.0,Jhapa,5.0,112.0,3.0
4028.0,Jhapa,9.0,112.0,1.0
4028.0,Jhapa,1.0,112.0,1.0
4028.0,Jhapa,10.0,112.0,1.0
4028.0,Jhapa,11.0,112.0,4.0
4028.0,Jhapa,2.0,112.0,2.0
4028.0,Jhapa,6.0,112.0,1.0
4028.0,Jhapa,7.0,112.0,1.0
4028.0,Jhapa,4.0,112.0,1.0
4028.0,Jhapa,3.0,112.0,0.0
4029.0,Jhapa,12.0,112.0,0.0
4029.0,Jhapa,3.0,112.0,0.0
4029.0,Jhapa,11.0,112.0,0.0
4029.0,Jhapa,1.0,112.0,0.0
4029.0,Jhapa,6.0,112.0,1.0
4029.0,Jhapa,9.0,112.0,0.0
4029.0,Jhapa,7.0,112.0,0.0
4029.0,Jhapa,4.0,112.0,0.0
4029.0,Jhapa,2.0,112.0,1.0
4029.0,Jhapa,8.0,112.0,0.0
4029.0,Jhapa,5.0,112.0,1.0
4029.0,Jhapa,10.0,112.0,1.0
4030.0,Morang,1.0,112.0,0.0
4030.0,Morang,9.0,112.0,0.0
4030.0,Morang,5.0,112.0,0.0
4030.0,Morang,7.0,112.0,0.0
4030.0,Morang,8.0,112.0,0.0
4030.0,Morang,12.0,112.0,0.0
4030.0,Morang,11.0,112.0,0.0
4030.0,Morang,4.0,112.0,0.0
